time_s,command_vx,mean_vx,mean_vy,mean_yaw,mean_power_w,alive_fraction,within_tolerance_fraction
0.16,1.2,1.1533192,0.07479927,-0.09382646,51.06459,1.0,1.0
0.16,1.4,1.4569108,0.03830482,-0.147275,88.04908,1.0,1.0
0.16,1.6,1.572617,0.04627703,-0.037678283,93.09456,1.0,1.0
0.16,1.8,1.7110851,0.012509322,-0.09460606,89.91173,1.0,1.0
0.16,2.0,2.0479403,0.013935138,-0.00977594,152.67227,1.0,1.0
0.16,2.2,2.2503428,0.028608397,0.08040593,440.43896,1.0,1.0
0.16,2.4,2.432279,0.01465455,-0.08994129,197.77368,1.0,1.0
0.16,2.6,2.6471744,0.06429319,-0.1052851,225.96233,1.0,1.0
0.16,2.8,2.742118,0.033360273,-0.14929438,887.17883,1.0,0.9375
0.16,3.0,2.9736116,0.08368869,0.1654051,269.9734,1.0,0.8125
0.18,0.0,0.036693666,0.033089533,0.0022122236,8.092848,1.0,1.0
0.18,0.2,0.22519197,-0.014370989,-0.13997222,17.664276,1.0,1.0
0.18,0.4,0.38992155,0.005966135,-0.018147305,9.649506,1.0,1.0
0.18,0.6,0.6309408,0.05238694,0.03568371,19.705894,1.0,1.0
0.18,0.8,0.79147947,0.032328013,-0.03453405,23.810705,1.0,1.0
0.18,1.0,0.9653276,0.07568169,0.0009870954,30.842484,1.0,1.0
0.18,1.2,1.1363752,0.069025,-0.10704926,28.474138,1.0,1.0
0.18,1.4,1.4439236,0.04290366,-0.055057235,125.487595,1.0,1.0
0.18,1.6,1.6172469,0.0445504,0.03083748,92.41571,1.0,1.0
0.18,1.8,1.7388592,0.022782449,-0.04733754,109.5683,1.0,1.0
0.18,2.0,2.0864668,0.011881959,-0.014804622,132.0585,1.0,1.0
0.18,2.2,2.1811266,0.0060985787,0.04763791,376.4101,1.0,1.0
0.18,2.4,2.466463,0.034129072,-0.09047654,183.69334,1.0,1.0
0.18,2.6,2.672601,0.08060961,-0.11790259,200.65334,1.0,1.0
0.18,2.8,2.733097,0.039586328,0.16127232,441.16217,1.0,0.875
0.18,3.0,3.0006342,0.074010834,0.29417396,153.88422,1.0,0.0
0.2,0.0,0.03972607,0.034780685,-0.000558915,9.088792,1.0,1.0
0.2,0.2,0.21604261,-0.0075888378,-0.08411543,16.772318,1.0,1.0
0.2,0.4,0.38818085,0.013945397,-0.019304266,8.570049,1.0,1.0
0.2,0.6,0.60480696,0.04316158,-0.0429852,7.252844,1.0,1.0
0.2,0.8,0.82494426,0.028440598,-0.07291813,26.643457,1.0,1.0
