time_s,command_vx,mean_vx,mean_vy,mean_yaw,mean_power_w,alive_fraction,within_tolerance_fraction
0.08,4.2,-0.0032207505,-0.006767612,0.023059227,4.436478,1.0,0.0
0.08,4.4,-0.000956576,-0.0083575845,0.0204986,4.465355,1.0,0.0
0.08,4.6,-0.0033901194,-0.0024007857,0.016581276,4.654679,1.0,0.0
0.08,4.8,-0.0023661666,-0.0051998766,0.014679146,7.51679,1.0,0.0
0.08,5.0,-0.004610018,-0.0033216379,0.052105118,8.613159,1.0,0.0
0.1,0.0,-0.011416983,-0.018065773,0.1922698,9.346022,1.0,1.0
0.1,0.2,0.17646086,-0.014825905,0.06754475,7.4703875,1.0,1.0
0.1,0.4,0.39714512,-0.022270625,-0.038686275,19.473957,1.0,1.0
0.1,0.6,0.58746326,0.005761234,-0.121831164,22.735365,1.0,1.0
0.1,0.8,0.77592707,0.022413624,-0.08192031,27.888021,1.0,1.0
0.1,1.0,0.9791138,0.026865939,-0.03577748,31.933407,1.0,1.0
0.1,1.2,1.1728717,0.026110323,0.039626718,35.21777,1.0,1.0
0.1,1.4,1.3652427,0.014357705,0.028356444,58.250004,1.0,1.0
0.1,1.6,1.5679933,0.0012042951,-0.06953133,60.095932,1.0,1.0
0.1,1.8,1.7715019,-0.01264957,-0.21738121,133.59172,1.0,0.0
0.1,2.0,2.0225835,-0.03858065,-0.19012105,263.21252,1.0,0.6875
0.1,2.2,2.201362,-0.10823103,-0.21015371,399.90448,1.0,0.375
0.1,2.4,2.3226683,-0.085204035,-0.1252101,317.4522,1.0,1.0
0.1,2.6,2.5330343,-0.08370152,-0.38037798,242.2374,1.0,0.0
0.1,2.8,2.7561746,-0.044188976,0.06347893,254.25807,1.0,1.0
0.1,3.0,2.845922,-0.048773825,0.4285602,699.92535,1.0,0.0
0.1,3.2,3.0283854,-0.086668864,0.26102763,598.81213,1.0,0.0625
0.1,3.4,3.1054118,-0.11921603,0.052936606,870.98047,1.0,1.0
0.1,3.6,3.180121,-0.12604684,0.09977774,874.8126,1.0,0.0
0.1,3.8,3.2590456,-0.10559834,0.19841132,880.63257,1.0,0.0
0.1,4.0,0.001312417,0.012162589,-0.005660111,7.9863324,1.0,0.0
0.1,4.2,-0.0035991922,-0.006408262,0.020830499,4.444598,1.0,0.0
